query_id,doc_id,relevance_score
1,Doc 16,1
1,Doc 20,1
1,Doc 27,1
1,Doc 29,1
1,Doc 31,1
1,Doc 32,1
1,Doc 33,1
1,Doc 34,1
1,Doc 35,1
1,Doc 36,1
1,Doc 37,1
1,Doc 38,1
1,Doc 39,1
1,Doc 40,1
1,Doc 43,1
1,Doc 48,1
2,Doc 4,1
2,Doc 5,1
2,Doc 10,1
2,Doc 11,1
2,Doc 28,1
2,Doc 36,1
2,Doc 38,1
2,Doc 41,1
3,Doc 2,1
3,Doc 4,1
3,Doc 5,1
3,Doc 10,1
3,Doc 11,1
3,Doc 12,1
3,Doc 15,1
3,Doc 24,1
3,Doc 25,1
3,Doc 27,1
3,Doc 32,1
3,Doc 33,1
3,Doc 34,1
3,Doc 35,1
3,Doc 38,1
4,Doc 13,1
4,Doc 15,2
4,Doc 16,1
4,Doc 18,1
4,Doc 20,1
4,Doc 22,1
4,Doc 27,1
4,Doc 29,1
4,Doc 30,1
4,Doc 32,1
4,Doc 33,1
4,Doc 34,1
4,Doc 35,1
4,Doc 36,1
4,Doc 37,1
4,Doc 38,1
4,Doc 40,1
4,Doc 48,1
5,Doc 16,1
5,Doc 28,1
5,Doc 30,1
5,Doc 35,1
5,Doc 42,1
5,Doc 45,1
5,Doc 46,1
5,Doc 50,1
